customer_id,response,total_spend,num_orders,last_purchase,first_purchase
CS1112,0,1012,15,2015-01-14,2011-06-15
CS1113,0,1490,20,2015-02-09,2011-05-27
CS1114,1,1432,19,2015-02-12,2011-07-14
CS1115,1,1659,22,2015-03-05,2011-08-10
CS1116,1,857,13,2014-08-25,2011-06-27
CS1117,0,1185,17,2014-07-02,2011-05-20
CS1118,1,1011,15,2015-03-14,2011-05-18
CS1119,0,1158,15,2015-03-05,2012-02-28
CS1120,0,1677,24,2015-03-06,2011-05-26
CS1121,0,1524,26,2015-02-03,2011-05-30
CS1122,0,1156,16,2015-02-02,2011-07-19
CS1123,0,1331,19,2014-11-27,2011-05-26
CS1124,0,1127,18,2015-01-02,2011-06-27
CS1125,0,885,12,2015-02-19,2011-11-08
CS1126,0,1165,19,2014-09-18,2011-07-14
CS1127,0,1676,24,2015-02-05,2011-07-11
CS1128,0,1921,26,2014-12-31,2011-05-24
CS1129,0,853,12,2014-11-30,2011-05-30
CS1130,0,1185,19,2015-03-13,2011-08-18
CS1131,0,998,14,2015-02-24,2011-08-24
CS1132,0,1074,16,2015-02-17,2011-07-13
CS1133,0,1413,19,2015-02-21,2011-06-01
CS1134,0,1166,16,2014-11-27,2011-09-06
CS1135,1,1267,20,2014-04-15,2011-07-01
CS1136,0,1339,20,2015-02-17,2011-08-12
CS1137,0,1380,20,2015-01-20,2011-05-25
CS1138,0,1863,24,2015-03-03,2011-05-24
CS1139,0,1245,18,2014-11-25,2011-06-16
CS1140,0,1434,20,2015-02-16,2011-05-21
CS1141,1,1778,25,2015-01-22,2011-08-12
CS1142,1,1847,22,2014-10-06,2011-05-31
CS1143,1,1255,16,2014-08-16,2011-07-05
CS1144,0,1222,18,2014-10-11,2011-06-05
CS1145,1,1967,27,2014-10-25,2011-06-03
CS1146,0,1117,16,2015-03-09,2011-12-25
CS1147,0,1004,15,2015-03-12,2011-06-14
CS1148,1,1733,25,2014-12-23,2011-07-06
CS1149,0,1768,25,2015-03-01,2011-06-17
CS1150,0,1075,14,2014-12-17,2011-08-23
CS1151,0,1040,16,2015-02-18,2011-08-10
CS1152,0,1457,20,2015-03-10,2011-09-23
CS1153,0,1274,18,2015-02-10,2011-06-13
CS1154,0,1436,23,2015-03-16,2011-08-30
CS1155,0,1317,19,2014-11-10,2011-06-22
CS1156,0,1445,20,2015-03-07,2011-06-25
CS1157,0,1427,21,2015-02-25,2011-12-30
CS1158,0,1159,18,2014-12-04,2011-07-16
CS1159,0,1439,22,2015-02-08,2011-06-20
CS1160,1,1380,20,2015-01-31,2011-11-07
CS1161,0,1389,22,2015-03-12,2011-06-22
CS1162,0,1815,24,2015-02-25,2011-05-23
CS1163,0,1290,18,2015-02-06,2011-05-21
CS1164,0,2037,26,2015-02-27,2011-07-02
CS1165,0,1335,20,2014-12-12,2011-07-28
CS1166,0,1507,19,2014-12-08,2011-05-31
CS1167,1,1132,16,2014-11-17,2011-05-24
CS1168,0,916,14,2014-11-25,2011-11-14
CS1169,0,1175,18,2014-12-20,2011-10-04
CS1170,0,1272,18,2015-03-13,2011-06-20
CS1171,0,1555,22,2015-03-15,2011-07-13
CS1172,1,1306,18,2014-07-01,2011-05-18
CS1173,1,1429,21,2015-01-26,2011-08-13
CS1174,0,1554,23,2015-02-21,2011-07-22
CS1175,0,1106,17,2015-01-23,2011-05-17
CS1176,0,1401,18,2015-02-15,2011-06-03
CS1177,0,1310,17,2015-02-06,2011-05-16
CS1178,0,1535,22,2015-02-13,2011-08-08
CS1179,0,2091,29,2015-01-29,2011-06-04
CS1180,0,1637,23,2015-01-21,2011-08-17
CS1181,0,1893,27,2015-01-18,2011-08-05
CS1182,1,1749,24,2014-12-04,2011-06-24
CS1183,0,1967,26,2015-03-04,2011-06-05
CS1184,0,1999,28,2015-03-16,2011-06-21
CS1185,0,1801,27,2015-03-05,2011-07-14
CS1186,0,1439,19,2015-01-23,2011-08-07
CS1187,0,1559,22,2015-02-22,2011-05-18
CS1188,0,1010,16,2015-03-12,2011-06-07
CS1189,0,1564,23,2015-01-12,2011-08-09
CS1190,0,1324,18,2015-02-04,2011-06-12
CS1191,1,1522,21,2015-01-09,2011-06-04
CS1192,0,1313,18,2015-02-06,2011-06-19
CS1193,0,953,15,2014-06-06,2011-07-04
CS1194,0,1505,22,2015-03-07,2011-10-14
CS1195,0,1378,20,2015-02-24,2011-09-25
CS1196,0,1559,23,2015-03-15,2011-08-02
CS1197,0,1180,17,2014-10-06,2011-05-29
CS1198,0,1571,22,2015-03-05,2011-07-09
CS1199,0,1344,20,2014-11-12,2011-06-28
CS1200,0,1667,21,2014-09-27,2011-06-03
CS1201,0,1375,19,2015-01-23,2011-09-27
CS1202,0,1331,20,2015-01-21,2011-11-25
CS1203,1,1536,21,2015-01-27,2011-06-15
CS1204,0,1023,17,2015-01-28,2011-07-28
CS1205,0,1103,17,2015-03-13,2011-05-19
CS1206,0,1514,24,2014-10-10,2011-05-24
CS1207,0,1310,18,2015-02-05,2011-11-28
CS1208,0,1000,15,2015-02-09,2011-06-23
CS1209,0,1809,27,2015-03-14,2011-06-19
CS1210,0,1546,21,2014-12-08,2011-05-20
CS1211,0,1218,18,2015-01-18,2011-09-09
CS1212,0,1200,17,2014-10-09,2011-06-05
CS1213,0,1191,18,2014-11-09,2011-10-02
CS1214,0,1289,19,2015-03-09,2011-08-03
CS1215,0,2362,35,2014-11-03,2011-09-08
CS1216,0,1798,24,2014-10-28,2011-05-28
CS1217,0,1431,20,2014-12-29,2011-05-22
CS1218,0,1687,24,2015-02-07,2011-06-17
CS1219,0,1447,21,2015-03-12,2011-11-24
CS1220,0,720,9,2015-02-24,2011-11-10
CS1221,0,1372,19,2014-10-04,2011-06-07
CS1222,0,1585,21,2015-01-30,2011-05-16
CS1223,0,1299,17,2015-01-22,2011-06-29
CS1224,0,578,8,2014-11-21,2011-08-23
CS1225,0,999,17,2015-01-28,2011-05-30
CS1226,0,1213,18,2015-01-21,2011-06-12
CS1227,0,1783,27,2015-02-19,2011-09-26
CS1228,0,1368,19,2015-01-29,2011-06-27
CS1229,0,1194,19,2015-02-17,2011-06-21
CS1230,0,1415,20,2015-03-11,2011-05-23
CS1231,0,1750,23,2014-10-13,2011-06-26
CS1232,0,1452,20,2014-12-11,2011-06-15
CS1233,1,1374,21,2014-11-21,2012-03-13
CS1234,0,1349,21,2015-03-12,2011-06-09
CS1235,1,1507,22,2014-10-26,2011-09-28
CS1236,0,1668,22,2015-02-02,2011-05-20
CS1237,0,1823,24,2014-08-28,2011-06-08
CS1238,0,1808,26,2015-02-24,2011-07-01
CS1239,0,771,11,2014-07-07,2011-11-23
CS1240,0,2126,30,2015-03-13,2011-08-12
CS1241,0,1818,27,2015-02-16,2011-05-21
CS1242,0,943,13,2015-01-16,2012-04-06
CS1243,0,1087,17,2015-02-06,2011-10-11
CS1244,0,1492,21,2014-10-26,2011-06-26
CS1245,0,1321,19,2015-01-03,2011-05-28
CS1246,0,1431,20,2014-05-25,2011-06-23
CS1247,1,1773,28,2015-02-16,2011-06-25
CS1248,0,1172,17,2015-03-07,2011-07-04
CS1249,0,1846,23,2014-12-17,2011-06-07
CS1250,0,1625,24,2015-03-04,2011-05-16
CS1251,0,1035,14,2015-03-14,2012-03-16
CS1252,0,1411,18,2014-11-29,2011-08-22
CS1253,1,1399,17,2015-01-01,2011-07-01
CS1254,0,1599,21,2015-03-13,2011-05-19
CS1255,0,1998,29,2015-01-08,2011-08-07
CS1256,0,1304,19,2014-08-15,2011-06-22
CS1257,0,1050,15,2015-02-19,2012-03-11
CS1258,0,1458,22,2015-02-19,2011-06-15
CS1259,1,1679,22,2014-09-29,2011-07-20
CS1260,0,1941,26,2014-10-21,2011-06-29
CS1261,0,1943,26,2014-12-19,2011-06-14
CS1262,0,1040,16,2014-12-22,2011-09-11
CS1263,0,1096,14,2015-03-13,2011-07-29
CS1264,0,959,12,2015-03-13,2011-07-26
CS1265,0,1128,14,2015-01-24,2011-10-24
CS1266,0,1076,15,2015-02-05,2011-09-22
CS1267,0,1812,26,2014-11-26,2011-06-09
CS1268,0,1946,27,2015-01-10,2011-07-16
CS1269,0,1272,19,2015-01-07,2011-07-20
CS1270,0,1990,27,2015-02-17,2011-05-17
CS1271,0,1683,25,2015-02-09,2011-07-27
CS1272,0,1279,19,2015-02-27,2011-06-06
CS1273,0,1800,25,2015-02-17,2011-08-25
CS1274,0,1381,20,2015-03-11,2011-06-10
CS1275,0,1321,18,2015-03-16,2011-12-28
CS1276,0,1505,21,2015-02-17,2011-05-28
CS1277,0,1142,17,2014-12-18,2011-06-10
CS1278,0,1572,22,2014-11-27,2011-06-02
CS1279,0,1411,21,2015-01-28,2011-06-09
CS1280,0,1262,21,2015-03-03,2011-05-18
