customer_id,trans_date,tran_amount,response,month,year,day_of_week
CS5295,2013-02-11,35,1,2,2013,Monday
CS4768,2015-03-15,39,1,3,2015,Sunday
CS2122,2013-02-26,52,0,2,2013,Tuesday
CS1217,2011-11-16,99,0,11,2011,Wednesday
CS1850,2013-11-20,78,0,11,2013,Wednesday
CS5539,2014-03-26,81,0,3,2014,Wednesday
CS2724,2012-02-06,93,0,2,2012,Monday
CS5902,2015-01-30,89,0,1,2015,Friday
CS6040,2013-01-08,76,0,1,2013,Tuesday
CS3802,2013-08-20,75,1,8,2013,Tuesday
CS3494,2013-07-02,94,0,7,2013,Tuesday
CS3780,2013-03-25,80,0,3,2013,Monday
CS1171,2012-11-03,59,0,11,2012,Saturday
CS2892,2013-05-12,43,0,5,2013,Sunday
CS5552,2014-12-29,78,0,12,2014,Monday
CS6043,2014-01-15,98,0,1,2014,Wednesday
CS4147,2013-07-08,81,0,7,2013,Monday
CS4655,2013-12-30,93,0,12,2013,Monday
CS3904,2014-07-20,103,0,7,2014,Sunday
CS4102,2011-07-09,96,0,7,2011,Saturday
CS2086,2013-03-05,75,0,3,2013,Tuesday
CS6085,2013-01-09,49,0,1,2013,Wednesday
CS1328,2013-02-06,54,0,2,2013,Wednesday
CS4564,2012-03-27,48,0,3,2012,Tuesday
CS5910,2012-01-01,98,0,1,2012,Sunday
CS2748,2013-03-23,37,1,3,2013,Saturday
CS5147,2013-04-29,72,0,4,2013,Monday
CS1770,2012-11-02,83,0,11,2012,Friday
CS3510,2011-10-24,81,0,10,2011,Monday
CS2509,2011-12-05,105,0,12,2011,Monday
CS2859,2015-02-27,77,0,2,2015,Friday
CS1512,2015-02-21,71,0,2,2015,Saturday
CS4148,2013-08-22,48,0,8,2013,Thursday
CS1735,2012-03-31,70,0,3,2012,Saturday
CS1588,2012-01-27,70,0,1,2012,Friday
CS5514,2013-01-09,36,1,1,2013,Wednesday
CS5933,2013-10-07,48,0,10,2013,Monday
CS2797,2014-03-06,87,1,3,2014,Thursday
CS5313,2012-12-02,88,0,12,2012,Sunday
CS5966,2012-03-09,39,0,3,2012,Friday
CS5211,2014-05-18,51,0,5,2014,Sunday
CS1511,2015-01-13,47,0,1,2015,Tuesday
CS6087,2014-11-24,37,0,11,2014,Monday
CS5909,2012-02-04,80,0,2,2012,Saturday
CS2845,2013-03-08,105,0,3,2013,Friday
CS1433,2012-11-05,78,0,11,2012,Monday
CS4897,2014-04-12,45,1,4,2014,Saturday
CS2296,2012-12-28,79,0,12,2012,Friday
CS1494,2013-06-29,59,0,6,2013,Saturday
CS3688,2014-06-19,55,0,6,2014,Thursday
CS2287,2011-12-23,94,0,12,2011,Friday
CS3779,2011-06-26,69,0,6,2011,Sunday
CS1423,2014-06-05,78,0,6,2014,Thursday
CS2501,2012-11-14,59,1,11,2012,Wednesday
CS3434,2013-02-22,98,0,2,2013,Friday
CS2662,2014-08-31,88,0,8,2014,Sunday
CS2209,2012-03-12,35,0,3,2012,Monday
CS4530,2011-06-05,40,0,6,2011,Sunday
CS2848,2013-02-04,53,0,2,2013,Monday
CS2596,2011-09-19,55,0,9,2011,Monday
CS4421,2012-05-20,86,0,5,2012,Sunday
CS4905,2012-04-13,93,0,4,2012,Friday
CS5704,2011-12-04,79,0,12,2011,Sunday
CS2403,2014-07-27,94,1,7,2014,Sunday
CS5480,2012-01-28,63,1,1,2012,Saturday
CS5811,2013-08-23,91,1,8,2013,Friday
CS2051,2014-12-09,101,0,12,2014,Tuesday
CS3957,2012-08-30,69,0,8,2012,Thursday
CS4704,2014-11-25,41,0,11,2014,Tuesday
CS2289,2012-05-19,67,0,5,2012,Saturday
CS5218,2014-06-21,45,0,6,2014,Saturday
CS4637,2011-05-20,71,1,5,2011,Friday
CS3158,2012-05-06,91,0,5,2012,Sunday
CS4176,2012-07-30,49,0,7,2012,Monday
CS1939,2011-11-25,101,0,11,2011,Friday
CS5403,2011-12-01,64,0,12,2011,Thursday
