year,month,month_year,day_of_week,total_revenue,total_transactions,avg_transaction
2011,5,2011-05,Friday,11983,187,64.08021390374331
2011,5,2011-05,Monday,17312,257,67.36186770428016
2011,5,2011-05,Saturday,12151,177,68.64971751412429
2011,5,2011-05,Sunday,12804,190,67.38947368421053
2011,5,2011-05,Thursday,12958,188,68.92553191489361
2011,5,2011-05,Tuesday,19717,298,66.16442953020135
2011,5,2011-05,Wednesday,11976,187,64.0427807486631
2011,6,2011-06,Friday,23952,374,64.0427807486631
2011,6,2011-06,Monday,22501,353,63.742209631728045
2011,6,2011-06,Saturday,21802,341,63.935483870967744
2011,6,2011-06,Sunday,24219,370,65.45675675675676
2011,6,2011-06,Thursday,29942,461,64.95010845986985
2011,6,2011-06,Tuesday,21615,334,64.71556886227545
2011,6,2011-06,Wednesday,30496,474,64.33755274261604
2011,7,2011-07,Friday,27409,418,65.57177033492823
2011,7,2011-07,Monday,22734,351,64.76923076923077
2011,7,2011-07,Saturday,29605,468,63.25854700854701
2011,7,2011-07,Sunday,28005,416,67.31971153846153
2011,7,2011-07,Thursday,23880,358,66.70391061452514
2011,7,2011-07,Tuesday,25671,392,65.48724489795919
2011,7,2011-07,Wednesday,20734,322,64.3913043478261
2011,8,2011-08,Friday,24287,377,64.42175066312997
2011,8,2011-08,Monday,31386,483,64.98136645962732
2011,8,2011-08,Saturday,24238,371,65.33153638814017
2011,8,2011-08,Sunday,24073,379,63.517150395778366
2011,8,2011-08,Thursday,24343,378,64.3994708994709
2011,8,2011-08,Tuesday,28773,446,64.51345291479821
2011,8,2011-08,Wednesday,31505,479,65.77244258872652
2011,9,2011-09,Friday,28400,432,65.74074074074075
2011,9,2011-09,Monday,22809,344,66.30523255813954
2011,9,2011-09,Saturday,20273,314,64.56369426751593
2011,9,2011-09,Sunday,23965,374,64.07754010695187
2011,9,2011-09,Thursday,29582,463,63.892008639308855
2011,9,2011-09,Tuesday,22904,358,63.977653631284916
2011,9,2011-09,Wednesday,21240,320,66.375
2011,10,2011-10,Friday,23669,361,65.56509695290859
2011,10,2011-10,Monday,26269,406,64.70197044334975
2011,10,2011-10,Saturday,30766,489,62.9161554192229
2011,10,2011-10,Sunday,28449,443,64.21896162528216
2011,10,2011-10,Thursday,24458,372,65.74731182795699
2011,10,2011-10,Tuesday,25052,400,62.63
2011,10,2011-10,Wednesday,23902,366,65.30601092896175
2011,11,2011-11,Friday,18938,294,64.41496598639456
2011,11,2011-11,Monday,21728,332,65.44578313253012
2011,11,2011-11,Saturday,23262,357,65.15966386554622
2011,11,2011-11,Sunday,23107,355,65.09014084507042
2011,11,2011-11,Thursday,20662,322,64.16770186335404
2011,11,2011-11,Tuesday,27642,428,64.58411214953271
2011,11,2011-11,Wednesday,31491,480,65.60625
2011,12,2011-12,Friday,28566,443,64.48306997742664
2011,12,2011-12,Monday,24134,375,64.35733333333333
2011,12,2011-12,Saturday,27664,437,63.30434782608695
2011,12,2011-12,Sunday,23303,364,64.01923076923077
2011,12,2011-12,Thursday,28218,435,64.86896551724138
2011,12,2011-12,Tuesday,25238,387,65.21447028423772
2011,12,2011-12,Wednesday,24203,370,65.41351351351351
2012,1,2012-01,Friday,24259,375,64.69066666666667
2012,1,2012-01,Monday,27386,427,64.13583138173303
2012,1,2012-01,Saturday,22778,348,65.45402298850574
2012,1,2012-01,Sunday,27145,420,64.63095238095238
2012,1,2012-01,Thursday,23235,359,64.72144846796657
2012,1,2012-01,Tuesday,29245,445,65.71910112359551
2012,1,2012-01,Wednesday,23921,362,66.08011049723757
2012,2,2012-02,Friday,21922,340,64.47647058823529
2012,2,2012-02,Monday,26676,409,65.22249388753056
2012,2,2012-02,Saturday,23870,369,64.68834688346884
2012,2,2012-02,Sunday,21309,335,63.6089552238806
2012,2,2012-02,Thursday,24173,365,66.22739726027397
2012,2,2012-02,Tuesday,23637,363,65.11570247933884
2012,2,2012-02,Wednesday,28548,438,65.17808219178082
2012,3,2012-03,Friday,27225,404,67.38861386138613
2012,3,2012-03,Monday,22281,334,66.70958083832335
2012,3,2012-03,Saturday,32662,498,65.5863453815261
2012,3,2012-03,Sunday,21390,335,63.850746268656714
2012,3,2012-03,Thursday,28273,432,65.44675925925925
2012,3,2012-03,Tuesday,25783,391,65.94117647058823
2012,3,2012-03,Wednesday,22839,349,65.44126074498567
2012,4,2012-04,Friday,23612,372,63.473118279569896
2012,4,2012-04,Monday,30338,465,65.24301075268818
2012,4,2012-04,Saturday,21704,337,64.40356083086053
2012,4,2012-04,Sunday,25130,399,62.98245614035088
2012,4,2012-04,Thursday,23000,346,66.47398843930635
2012,4,2012-04,Tuesday,23064,365,63.18904109589041
2012,4,2012-04,Wednesday,21107,328,64.35060975609755
2012,5,2012-05,Friday,23364,358,65.26256983240224
2012,5,2012-05,Monday,22244,341,65.2316715542522
2012,5,2012-05,Saturday,24232,368,65.84782608695652
2012,5,2012-05,Sunday,23828,368,64.75
2012,5,2012-05,Thursday,30081,457,65.82275711159737
2012,5,2012-05,Tuesday,25575,393,65.07633587786259
2012,5,2012-05,Wednesday,29556,444,66.56756756756756
2012,6,2012-06,Friday,27898,438,63.694063926940636
2012,6,2012-06,Monday,24340,375,64.90666666666667
2012,6,2012-06,Saturday,28091,437,64.28146453089245
2012,6,2012-06,Sunday,22241,340,65.41470588235295
2012,6,2012-06,Thursday,22947,355,64.63943661971831
2012,6,2012-06,Tuesday,22797,347,65.69740634005764
2012,6,2012-06,Wednesday,24619,382,64.44764397905759
2012,7,2012-07,Friday,20681,325,63.63384615384616
2012,7,2012-07,Monday,27313,426,64.1150234741784
2012,7,2012-07,Saturday,23504,360,65.28888888888889
2012,7,2012-07,Sunday,27573,420,65.65
2012,7,2012-07,Thursday,23806,373,63.8230563002681
2012,7,2012-07,Tuesday,30597,476,64.27941176470588
2012,7,2012-07,Wednesday,25490,391,65.1918158567775
2012,8,2012-08,Friday,29952,463,64.69114470842332
2012,8,2012-08,Monday,23060,349,66.07449856733524
2012,8,2012-08,Saturday,21805,341,63.94428152492669
2012,8,2012-08,Sunday,23252,360,64.58888888888889
2012,8,2012-08,Thursday,28692,445,64.47640449438202
2012,8,2012-08,Tuesday,25270,386,65.46632124352331
2012,8,2012-08,Wednesday,27133,420,64.60238095238095
2012,9,2012-09,Friday,22936,353,64.97450424929178
2012,9,2012-09,Monday,25392,396,64.12121212121212
2012,9,2012-09,Saturday,28773,453,63.51655629139073
2012,9,2012-09,Sunday,27351,423,64.65957446808511
2012,9,2012-09,Thursday,21775,323,67.41486068111455
2012,9,2012-09,Tuesday,23126,354,65.32768361581921
2012,9,2012-09,Wednesday,25393,388,65.44587628865979
2012,10,2012-10,Friday,21546,337,63.93471810089021
2012,10,2012-10,Monday,29077,451,64.47228381374723
2012,10,2012-10,Saturday,22863,354,64.58474576271186
2012,10,2012-10,Sunday,24547,372,65.98655913978494
2012,10,2012-10,Thursday,21655,339,63.87905604719764
2012,10,2012-10,Tuesday,30611,464,65.97198275862068
2012,10,2012-10,Wednesday,31322,484,64.71487603305785
2012,11,2012-11,Friday,29622,460,64.39565217391305
2012,11,2012-11,Monday,25062,370,67.73513513513514
2012,11,2012-11,Saturday,26648,396,67.29292929292929
2012,11,2012-11,Sunday,22463,327,68.69418960244649
2012,11,2012-11,Thursday,30174,445,67.8067415730337
2012,11,2012-11,Tuesday,22176,340,65.2235294117647
2012,11,2012-11,Wednesday,22853,360,63.480555555555554
2012,12,2012-12,Friday,23484,357,65.78151260504201
2012,12,2012-12,Monday,27226,421,64.66983372921615
2012,12,2012-12,Saturday,28691,450,63.757777777777775
2012,12,2012-12,Sunday,27148,423,64.17966903073287
